"Technology Type","TRACER Level","Category","Question ID","Question Text","Question Type","Dropdown / Selection Options","Checklist Items (Yes sub-items)","Tooltip / Hint"
"Food, Food Ingredients and Beverages","TRACER Level 1","Technology Development Status","tech_dev_0_1","Concept Development Completed or Prior Art Search Conducted","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 1","Market and Pre-commercialization Preparedness","market_0_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Technology Development Status","tech_dev_0_2","Initial Experiments Conducted in Laboratory (Benchscale)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Technology Development Status","tech_dev_0_3","First Prototype/Formulation Created for Sensory Analysis","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Technology Development Status","tech_dev_0_11","Internal/Preliminary Sensory Screening Conducted","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Market and Pre-commercialization Preparedness","market_0_25","Initial Assessment on the Potential User","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 3","Technology Development Status","tech_dev_0_4","Formulation for Highest Sensory Acceptability Optimized","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 3","Technology Development Status","tech_dev_0_12","Proximate Analysis Conducted to Assess Chemical Properties","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Technology Development Status","tech_dev_0_5","Product Validated Through Target Consumer Sensory Testing","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Technology Development Status","tech_dev_0_13","Positive Proximate Analysis Confirmed","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Technology Development Status","tech_dev_0_14","Shelf-life Established At least Under Laboratory Conditions","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_0","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Food, Food Ingredients and Beverages","TRACER Level 5","Technology Development Status","tech_dev_0_6","Pilot-scale formulation developed with an established production manual for scaled-up manufacturing.","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
"Food, Food Ingredients and Beverages","TRACER Level 5","Market and Pre-commercialization Preparedness","market_0_26","Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_0","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Technology Development Status","tech_dev_0_7","Product Tested for Scaled-up Pilot Production","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Technology Development Status","tech_dev_0_15","Allergen Profiling/Screening Conducted","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Market and Pre-commercialization Preparedness","market_0_27","Initial Market Tests Conducted (i.e.: selling in Trade Shows, Limited Release)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Market and Pre-commercialization Preparedness","market_0_28","Records of Initial Sales from Market Testing","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_0","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• First Industry-Scale Production Initiated → satisfies TRL 6
• Successful Validation of Industry-Scale Production → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"Food, Food Ingredients and Beverages","TRACER Level 7","Technology Development Status","tech_dev_0_8","Standardized Good Manufacturing Practices (GMP) Manual for Product Manufacturing in Industry-scale Established","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 7","Technology Development Status","tech_dev_0_17","Packaging compatibility validated for safety and shelf life (Industry-scale)","dropdown","• Not Yet Validated
• Yes — Validated → satisfies TRL 7
• Not Required/Not Applicable → satisfies TRL 7","",""
"Food, Food Ingredients and Beverages","TRACER Level 7","Industry Validation and Adoption Status","licensing_0","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"Food, Food Ingredients and Beverages","TRACER Level 7","Regulatory Compliance Status","certification_0","Certification/Approval from Food and Drug Administration (FDA)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Food, Food Ingredients and Beverages","TRACER Level 8","Technology Development Status","tech_dev_0_18","Product Ready for Full-scale Commercial Production (Replicable Without Error)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 8","Industry Validation and Adoption Status","fairness_0","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"Food, Food Ingredients and Beverages","TRACER Level 8","Regulatory Compliance Status","cert2_0","HACCP/HALAL Certification","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 8
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Food, Food Ingredients and Beverages","TRACER Level 9","Technology Development Status","tech_dev_0_10","Fully commercialized with documented royalty income","checkbox","","","The technology is fully commercialized, with the product commercially available to target users and generating royalty income."
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 1","Technology Development Status","tech_dev_1_1","Concept Development Completed or Prior Art Search Conducted","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 1","Market and Pre-commercialization Preparedness","market_1_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 2","Technology Development Status","tech_dev_1_2","Initial Experiments Conducted in Laboratory (Benchscale)","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 2","Technology Development Status","tech_dev_1_3","Initial Formulation Created","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 2","Technology Development Status","tech_dev_1_11","Proximate Analysis of the Product Initiated","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 2","Market and Pre-commercialization Preparedness","market_1_25","Initial Assessment on the Potential User","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 3","Technology Development Status","tech_dev_1_4","Formulation Optimized Based on Initial Results of Feeding Trial","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 3","Technology Development Status","tech_dev_1_12","Proximate Analysis on Nutritional Adequacy Confirmed","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 4","Technology Development Status","tech_dev_1_5","Product Validated Through Initial Feeding Trial with Target Animals","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 4","Technology Development Status","tech_dev_1_13","Passed Toxicity Evaluation","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 4","Technology Development Status","tech_dev_1_14","Storage Stability Established","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_1","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 5","Technology Development Status","tech_dev_1_6","Pilot-scale formulation developed with an established production manual for scaled-up manufacturing.","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 5","Market and Pre-commercialization Preparedness","market_1_26","Product Promotion and Packaging using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_1","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 6","Technology Development Status","tech_dev_1_7","Product Tested for Scaled-up Pilot Production","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 6","Market and Pre-commercialization Preparedness","market_1_27","Initial Market Tests Conducted (i.e.: selling in Trade Shows, Limited Release)","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 6","Market and Pre-commercialization Preparedness","market_1_28","Records of Initial Sales from Market Testing","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_1","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• First Industry-Scale Production Initiated → satisfies TRL 6
• Successful Validation of Industry-Scale Production → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 7","Technology Development Status","tech_dev_1_8","Standardized Manual for Product Manufacturing and Commercial Production Established","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 7","Industry Validation and Adoption Status","licensing_1","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 7","Regulatory Compliance Status","certification_1","Certification/Approval from Bureau of Animal Industry (BAI) or Food and Drug Administration (FDA)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 8","Technology Development Status","tech_dev_1_9","Product Ready for Full-scale Commercial Production (Replicable Without Error)","checkbox","","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 8","Industry Validation and Adoption Status","fairness_1","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"Animal Feed, Feed Ingredients and Animal Nutrition","TRACER Level 9","Technology Development Status","tech_dev_1_10","Fully commercialized with documented royalty income","checkbox","","","The technology is fully commercialized, with the product commercially available to target users and generating royalty income."
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 1","Technology Development Status","tech_dev_2_1","Concept Development Completed or Prior Art Search Conducted","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 1","Market and Pre-commercialization Preparedness","market_2_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 2","Technology Development Status","tech_dev_2_2","Initial Experiments Conducted in Laboratory (Benchscale)","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 2","Technology Development Status","tech_dev_2_3","Initial Formulation Created","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 2","Technology Development Status","tech_dev_2_11","Toxicity Test Initiated","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 2","Market and Pre-commercialization Preparedness","market_2_25","Initial Assessment on the Potential User","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 3","Technology Development Status","tech_dev_2_4","Formulation Optimized Based on Initial Response of the Experimental Subject","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 3","Technology Development Status","tech_dev_2_12","Positive Experimental Results on Product Efficacy, Stability, and/or Compatibility under Controlled Conditions Obtained","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 4","Technology Development Status","tech_dev_2_5","Pilot-scale formulation developed with an established production manual for scaled-up manufacturing.","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 4","Technology Development Status","tech_dev_2_13","Passed Toxicity Evaluation","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 4","Technology Development Status","tech_dev_2_14","Shelf Stability Established","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_2","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 5","Technology Development Status","tech_dev_2_6","Product Tested for Scaled-up Pilot Production","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 5","Market and Pre-commercialization Preparedness","market_2_26","Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_2","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 6","Technology Development Status","tech_dev_2_7","Standardized Manual for Product Manufacturing and Commercial Production Established","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 6","Technology Development Status","tech_dev_2_15","Packaging compatibility validated for safety and shelf life","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_2","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• First Industry-Scale Production Initiated → satisfies TRL 6
• Successful Validation of Industry-Scale Production → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 7","Technology Development Status","tech_dev_2_8","Product Ready for Full-scale Commercial Production (Replicable Without Error)","checkbox","","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 7","Industry Validation and Adoption Status","licensing_2","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 7","Regulatory Compliance Status","certification_2","Product Registration under Fertilizer and Pesticide Authority (FPA)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 8","Technology Development Status","tech_dev_2_9","Fully commercialized with documented royalty income","checkbox","","","The technology is fully commercialized, with the product commercially available to target users and generating documented royalty income."
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 8","Industry Validation and Adoption Status","fairness_2","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 8","Regulatory Compliance Status","cert2_2","Product Registration under Bureau of Agriculture and Fisheries Standards (BAFS) for Organic Products","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 8
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Fertilizer and Pesticide (including Organic and Bio-based Products)","TRACER Level 9","Technology Development Status","tech_dev_2_10","Formulated Product Initially Tested Under Laboratory Conditions (Efficacy, Stability, Compatibility)","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 1","Technology Development Status","tech_dev_3_1","Concept Development Completed or Prior Art Search Conducted","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 1","Market and Pre-commercialization Preparedness","market_3_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 2","Technology Development Status","tech_dev_3_2","Blueprint or Design of the Machine/Facility Completed","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 2","Technology Development Status","tech_dev_3_3","First Prototype Created","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 2","Technology Development Status","tech_dev_3_11","Ready for Commercial-Scale Production (Replicable/ Operational Without Error)","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 2","Market and Pre-commercialization Preparedness","market_3_25","Initial Assessment on the Potential User","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 3","Technology Development Status","tech_dev_3_4","Working Prototype Created","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 3","Technology Development Status","tech_dev_3_12","Fully commercialized with documented royalty income","checkbox","","","The technology is fully commercialized, with the machine or facility commercially available to target users and generating royalty income."
"Agri-Aqua Machinery and Facility","TRACER Level 4","Technology Development Status","tech_dev_3_5","Successfully Operated Under Laboratory-Scale or Controlled Conditions","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_3","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Agri-Aqua Machinery and Facility","TRACER Level 5","Technology Development Status","tech_dev_3_6","Machine/Facility Stable During Pilot-Scale Operation","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
"Agri-Aqua Machinery and Facility","TRACER Level 5","Market and Pre-commercialization Preparedness","market_3_26","Product Promotion using Basic Technology Profile or Techno Demo Conducted","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_3","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Agri-Aqua Machinery and Facility","TRACER Level 6","Technology Development Status","tech_dev_3_7","Prototype Tested for Basic Operational Capability","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_3","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• Multi-location Testing Initiated → satisfies TRL 6
• Successful Industry Testing and Validation → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"Agri-Aqua Machinery and Facility","TRACER Level 7","Technology Development Status","tech_dev_3_8","Operation Manual for the Use of Machinery/Facility Established","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 7","Industry Validation and Adoption Status","licensing_3","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"Agri-Aqua Machinery and Facility","TRACER Level 7","Regulatory Compliance Status","certification_3","Agricultural Machinery Testing and Evaluation Center (AMTEC) Certification","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Agri-Aqua Machinery and Facility","TRACER Level 8","Technology Development Status","tech_dev_3_9","Production or Fabrication Manual, or Technical Drawing or Plan Established","checkbox","","",""
"Agri-Aqua Machinery and Facility","TRACER Level 8","Industry Validation and Adoption Status","fairness_3","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"Agri-Aqua Machinery and Facility","TRACER Level 9","Technology Development Status","tech_dev_3_10","First Replication Achieved","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 1","Technology Development Status","tech_dev_4_1","Concept Development Completed or Prior Art Search Conducted","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 1","Market and Pre-commercialization Preparedness","market_4_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 2","Technology Development Status","tech_dev_4_2","Initial Prototype of Device or Diagnostic Kit Created","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 2","Technology Development Status","tech_dev_4_3","First Prototype or Kit Tested for Basic Functions","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 2","Technology Development Status","tech_dev_4_11","Standardized Protocol/Manual for Industry-scale Production/Fabrication/Assembly of Device/Kit","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 2","Market and Pre-commercialization Preparedness","market_4_25","Preliminary Assessment of User Requirements and Operational Feasibility","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 3","Technology Development Status","tech_dev_4_4","Working Prototype/Device Refined for Usability, Accuracy, and/or Portability","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 3","Technology Development Status","tech_dev_4_12","Device/kit ready for commercial-scale production (replicable without error)","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 4","Technology Development Status","tech_dev_4_5","Tested for Sensitivity, Specificity, or Measurement Accuracy Under Laboratory Conditions","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 4","Technology Development Status","tech_dev_4_13","Fully commercialized with documented royalty income","checkbox","","","The technology is fully commercialized, with the device or kit commercially available to target users and generating royalty income."
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_4","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 5","Technology Development Status","tech_dev_4_6","Device/Kit Validated with Positive Result Under Laboratory or Controlled Field Conditions","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 5","Market and Pre-commercialization Preparedness","market_4_26","Product Promotion using Basic Technology Profile or Techno Demo Conducted","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_4","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 6","Technology Development Status","tech_dev_4_7","Analytical Performance Confirmed (i.e.: Detection Limits, Repeatability, or Reliability)","checkbox","","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_4","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• Testing of Device Performance in Multiple Locations Initiated → satisfies TRL 6
• Successful Industry Validation and Replication of Device/Kit → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"Agri-Aqua Device and Diagnostic Kits","TRACER Level 7","Technology Development Status","tech_dev_4_8","Device/Kit Tested Under Pilot-scale or Semi-field Conditions","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
